"{113VdSwhq9kDhdQhKDNjUirudSHoJAZAR9}\t"	[1, 7126.886]
"{12fZ2HxkLjG9zn1u44XYsFFYKHM4A2zCea}\t"	[50, 20844.17]
"{12i2SvqQzJbAV2oBrx73Hc39BBMx2tYuxB}\t"	[51, 5639.9068411]
"{12iCH2qzbjKomFxNPusnbhRazvWD2mpqRH}\t"	[52, 43519.399]
"{12iwTmtRrNjMEyGGPXNasZDcUwVXXSq2ce}\t"	[53, 36199.584678]
"{12mUUMz4mNccuri41zEqBZRL7wPtUgXHzL}\t"	[54, 4350.96476387]
"{12nSZ7P425ymiCok3seSyHLFMbozkJB6DV}\t"	[55, 5702.22529714]
"{12o29QSFhH3RrgfkGEmsd3akzeZCkvA3vU}\t"	[56, 26550.56943361]
"{12p7WiBDrLS7QfdnDyoHjZKYCj621ykEFJ}\t"	[57, 6389.5]
"{12pCPrWvudnefJCtXQUBcm9z2NogtC3Rix}\t"	[58, 50000.403]
"{12pYxVTMQt1PNi3nfrNmuaC3HBZFHzbRdp}\t"	[59, 10460.43664624]
"{12pfPVkSNPb49Ez6GDuc4DuDdw4WCDCVef}\t"	[60, 44341.47394935]
"{12rebn6xb2VJt5YfMokUJvV4msdr7KohfG}\t"	[61, 12532.0]
"{12rkCS3qdfxQBFXcC3g2tBkYWk7JqkEZJ9}\t"	[62, 6146.62640172]
"{12sCvqqzuFSLY77WQtxLz6xGdxPLQyWWz9}\t"	[63, 6030.0]
"{12sMfk3tPMY5KEwrbnGPFqX46WhN5xt11A}\t"	[64, 9999.0]
"{12snkmWyKJ3s2ozxuFopNP4jVAM1aGVMjc}\t"	[65, 4119.02932899]
"{12taSSm4WzsmAK3kJvSdWmYp1VBrGvWBn3}\t"	[66, 5769.83735328]
"{12u3KLVhqtcALh5Dd5hmY8Bq8EN53fC5wQ}\t"	[67, 6771.88129907]
"{12yhQ4iKB2ETTN2rdHD7iCUgvtKfDDTvT7}\t"	[68, 4392.55900304]
"{12zCGEMG2WwWPSJQfkNVDfSwXu9cHf6pRc}\t"	[69, 6199.50831777]
"{12zK3toTDKWVCFbXfrPx46KxgCeMN3AqS9}\t"	[70, 16365.93140842]
"{12zZM5LQeC4xdtRMNw7DdJVcCRBQQ8Vb1t}\t"	[71, 9999.99950001]
"{12zkiZAScSiLQjw5JfjDoz5T3Pj2wA32TJ}\t"	[72, 4502.0]
"{131ecpenVXsWjkcduHX1aoXXivyn8gQTwZ}\t"	[73, 4745.0]
"{132vQw4XpVdayQarsyQEfrjGTKrhwMogGb}\t"	[74, 50000.0]
"{132vyfNRsqjjx39DLdYdWLuUzyK2XDGoun}\t"	[75, 4350.1436]
"{13436G9KnJNdv9CDHF9U6kRueCsK4SPkFN}\t"	[76, 4946.38454]
"{134HnbCZCxXjJ72Rkb22kpXQx9P3zuBgE9}\t"	[77, 5000.0]
"{134PSQFK8DPKGaWJ2BtWY7NDcQ1JnRXBrE}\t"	[78, 4475.0]
"{134wT9RKip4LVqsi6vWdFitLfD5p7vjEPz}\t"	[79, 4539.14826616]
"{135ttRqAK6PdAqk1xBeg9rQ9eu7dcKfb4y}\t"	[80, 4707.14735652]
"{136VJdZW78bKKv4rdKbGJ1dQ2MpWQ5hXB9}\t"	[81, 4384.83743955]
"{136q1Ud2jEiLxgQ84nHNteTKZmroatGcsZ}\t"	[82, 35509.5348388]
"{136tdvv4kxEgoYG8hTiG1EKR7FS3eu1dNp}\t"	[83, 5639.25828528]
"{138YYYdv4mQUeyG9prRmcYq3jkrr7tohd9}\t"	[84, 6322.3176425]
"{138ah8ji6sNvki1KZHeQCjhT1hJvVKM88H}\t"	[85, 8000.0]
"{139NNNgX97A9Qb2ugeCvisFQgeAv9E9Kc8}\t"	[86, 4200.41866251]
"{13A4o13ac2pA3xNLXVuWJKeUHmUxQcLTnB}\t"	[87, 6000.0]
"{13Bg79CDNZ9zXEbySc81jQWDb76XpzEtrs}\t"	[88, 4400.0]
"{13Ct3fcLqS94fBh6ADjbkxHCcL8PQLwox2}\t"	[89, 6597.28476216]
"{13DuGEYcKMpfHuezFzAAV6NmHwZfEpGgb3}\t"	[90, 8280.64031604]
"{13GPjFiRoUCescgyJ3rTXFKNRw5ggJutag}\t"	[91, 52101.0]
"{13GdXePufLt9DipRa5AvG18xLcFNN7TrJY}\t"	[92, 25000.0]
"{13HF1pXkFqfP5pert6bkRZS1HjybwLBcUd}\t"	[93, 12950.0]
"{13JJUihvvZDrpxCZWfVkAp8hFDhWoj3ZAT}\t"	[94, 13000.0]
"{13JKAB6fREBnRW8o6njxeJHTM7bHrtkbPp}\t"	[95, 9900.0]
"{13Jy62qYqkjDAsMfrN11cGRveAJR3FAKVx}\t"	[96, 4987.9999]
"{13KnPqSmSPi5x34wFL2qa3VXhhHo6siAop}\t"	[97, 4817.9999]
"{13LATTAav2J4Pqg5rdwob9Vb7SLVWZg8KG}\t"	[98, 4105.81527406]
"{13M6BWe8p9sSwdybWzzrWg1wmePq8j1Q4w}\t"	[99, 21071.49827402]
"{13MVuEukDmMRLa8HBwWhkE8mKPZ9H7KgQw}\t"	[100, 8500.0]
"{13PvJm5meaPgFsHTqFKsGZT2gtzXfGgk7d}\t"	[101, 4881.61577854]
"{13PwRLDyEGJTuQyP4AFfEtPwuzHKr6iZjt}\t"	[102, 50000.0]
"{13Q892Z2WadxMwQtGVe2e6tJAPeR1g7rUB}\t"	[103, 12000.0]
"{13QQXdQbGVPnnaQgxLLCdmj71QsnyyhMEN}\t"	[104, 7500.0]
"{13R4ZCmDgeNT8Hr843gyC4RKqAWoq8Fc4N}\t"	[105, 4858.0]
"{13S1Wd6CMRXSpLD6xfkvhSPgQdfPXkXu8T}\t"	[106, 6238.29714319]
"{13U2QPAZkvufQ6S2vDtbRdEPaVrj3bYnhN}\t"	[107, 5613.34565622]
"{13VCSpQZjomkNAzGH4iGSajFtFbr6psCNR}\t"	[108, 32177.8209779]
"{13Xiur1N2kj7GeUM1Zu1ciVuwyYWojYc8i}\t"	[109, 4605.0]
"{13Xur5Z9VBCJ7BbziTUwVLAu9daVdmXYmN}\t"	[110, 4767.70265345]
"{13YDQzZECxKWu45PRAew7TQWZxdbv1f3uS}\t"	[111, 9729.57]
"{13YbKGqWok38H5R5VWceprRwgLfFtBaYyq}\t"	[112, 7089.2677637]
"{13YegSMjBhsbDJDTmseWQGNcuMcJbc1G8X}\t"	[113, 5635.86971641]
"{13ZgyP681hJ1e77pfeq6MqJpBoghtoMSiW}\t"	[114, 5000.0]
"{13b57Ya2o6vCp8PVnsaHpihxTtj86U2os6}\t"	[115, 50000.0]
"{13bjh1CfvJyaPARyh9YemDrz8RCdZ4T9sz}\t"	[116, 4992.16788451]
"{13c6H3kkGGYJdg4FzZDAWTc9kaEGa9J3yN}\t"	[117, 4726.95610776]
"{13cY1A7vK32h6yG8QcNQKTGMhcVMasmZXE}\t"	[118, 4998.0]
"{13d9MtdzLpxo6LxxWr68GXqC74SnwGXp4Q}\t"	[119, 5000.0]
"{13dRDjbCcHuZPGoLG4KSqYX2VqHb5zTbwa}\t"	[120, 4451.08475969]
"{13fGSKSYZuPSXVuPNFwfo9cDqz2EAwsAH9}\t"	[121, 4797.71624978]
"{13i5L8bQ5Jw6JwLFrcyS79U352vooD3STH}\t"	[122, 6146.30540541]
"{13ijiC3wCVbNfgmHcDNnvniiQ7nKRoCS4J}\t"	[123, 5000.0]
"{13jeiyoJcLDizTKKfUzygcBk7z9PAPKMBg}\t"	[124, 4951.6284287]
"{13krsZVhiSYLD7XSj9Y4cV97McrgLePaEJ}\t"	[125, 6124.96623614]
"{13pvPWeRG8sSX3xRJz2YFj8YF7dGyu6HRz}\t"	[126, 6972.57092504]
"{13r1L4yUuzXDDjtDb2wTGaHuUkdBTLjbXq}\t"	[127, 5841.90841218]
"{13rHAE93RXM7ZJKhf9BvACaGPL8S9pYq2q}\t"	[128, 6004.79344818]
"{13rNSVv95TeACVnEHpoMuJmwhfsT27AP5o}\t"	[129, 4395.0]
"{13vJZKHKBirruXwmjMaRtakzPQRRHQit1S}\t"	[130, 49729.6698]
"{13vLXVUpQRXhJ9PWkQybzLMwyVVp4KskwQ}\t"	[131, 4846.97439457]
"{13vQ9sN1HjRCQW8RMUQwwWpqoYMeQQ377j}\t"	[132, 4476.67892702]
"{13vzfVZbawwL85xmyrXbYFFr4bUZHdPAWS}\t"	[133, 8455.69135317]
"{13w3taVBr3K5vVjaGrwKAc6tkS72TjjZXL}\t"	[134, 4539.16282557]
"{13yUBaPvEdnRSdLZFi9fKLoNr1poQf14Dk}\t"	[135, 10251.3448009]
"{141S6EUtuLh5ySLx4Dp3ticGHsXYGfSjbd}\t"	[136, 4057.77556985]
"{1444GcYLT7mpfi94QU7CQiwjxPZchfmLTD}\t"	[137, 7975.064442]
"{145bLBbsT97TibMR8N6H1Y7noYm26rhJDQ}\t"	[138, 6145.4]
"{147N55DCYhHCvn32DZwU1ocUKgnHrTwkWe}\t"	[139, 4850.0]
"{148Hf9jLDWNwNQGMyaDd8dMxjFkm8iijo3}\t"	[140, 4972.55]
"{1491KpNqoY1vGE2Rzdd76BCsuXK7QepNGU}\t"	[141, 158336.30131091]
"{1494KLjiYyUKawJJAQ9MuTDG9DDMxFiahC}\t"	[142, 4999.25]
"{149mQZ5f3Pd3SwvgoMx1RgyLwSAM29LE2A}\t"	[143, 7800.65]
"{14AorstZ99Wgqp8Y64WKKrzJiH9u49rxjM}\t"	[144, 5000.0]
"{14BZ2tSK1jetKeiHFyT63kjPdn92EbStCK}\t"	[145, 4985.79941789]
"{14Bn5mRas7dBc6pQSxQobN5RE49whMxVou}\t"	[146, 5000.0]
"{14CMSDHTSKbnnyfyGXMe6hXuN93CXnGEgi}\t"	[147, 4851.93108426]
"{14DC37KbDfqwvjswh8AeTDaeDXEVf4kgXN}\t"	[148, 9157.5755883]
"{14FNmLajkfDqEaUZQbFqiqAEWT6emFtHez}\t"	[149, 4150.0]
"{14GgDYS1J7rHzwS34hyhcNA3gkNtGyuHvh}\t"	[150, 6141.07027074]
"{14HVYA9N5zbDSF2ERBMJx2N7NqhuhT8koi}\t"	[151, 9418.9]
"{14HjSQNa7uhGk3LMNXviggkU6xqDfYM8XX}\t"	[152, 5735.01889917]
"{14HxhinQwGtkgSWYGBYUUmcodvGWoXqGeS}\t"	[153, 6097.10182263]
"{14Jjsiype7iaEvDcDP33ePYFuPE1DwXMnL}\t"	[154, 4043.42533982]
"{14JkqtwRqdZSjMgWTa58AkyqBJeRxVtoL1}\t"	[155, 4207.73084567]
"{14KnxEtbGzxQmcHfTegaCyasVzBpKMF951}\t"	[156, 6078.0]
"{14L6hnaEb8Jip6Hg3FKDtAjVJEgiGwcsp5}\t"	[157, 4555.76015261]
"{14L9C3pMj9M7GXGyT1SU6GbDRsFsyjHvgw}\t"	[158, 10284.0]
"{14LTtyDS6qPUKDZm4nQEewZ6Br83VbsgZG}\t"	[159, 25619.62807001]
"{14LcwfmuGeYF4UEMW2nL3Bkrr536dUwujj}\t"	[160, 7000.0]
"{14MJJu4iyyDPSDuvVkXYGELCJyh6JYowVY}\t"	[161, 7971.11943772]
"{14NCi5KdQa5zhgnRsHhBGJiAPfGzyNij2q}\t"	[162, 50000.0]
"{14Py7MqASWf9yuWGCrcTFCftWqPyuf3UAU}\t"	[163, 4204.19359129]
"{14PyPYS98QzbWqemD53R4yoBv9s1aDMR5C}\t"	[164, 4948.9995]
"{14RfvEEy3ENpzjt6WU3Y3Ev5btiVBUbELM}\t"	[165, 5144.7577925]
"{14RtzwrWD3AcAcBib6fQEipxTo95LRPmXo}\t"	[166, 7975.46800245]
"{14TbqVvrSMPHZiYdCewmrA5PDf3Nr4fJZ3}\t"	[167, 4931.99972021]
"{14WkS7ThLGiUwe5punyjD4NM81FW9TePkL}\t"	[168, 13805.0]
"{14YarNeVKHSoq7Tp4P51yc4Y94EXhdfQL5}\t"	[169, 4993.9997]
"{14ZDWq1X6aSuGsiWuFYfTEYhQwii4VYuc8}\t"	[170, 5768.40570974]
"{14ZdCmTKHNGP6vKCiivaigrJFPSSZYqzag}\t"	[171, 5000.0]
"{14aCkEQssHP5Wt9G1SmfsmUPMtQgCWSzcA}\t"	[172, 7471.0073155]
"{14avCtJUuoSKsaDAtFZWSPrGRL2h4nyuNV}\t"	[173, 5461.94467579]
"{14bgkAedxqUHAGzdBarCCzLgQzfMYHwgdk}\t"	[174, 11065.0]
"{14crbtiapfwbiDgqCvMkkoqEAQwC1UF3Ra}\t"	[175, 10000.0]
"{14d355R1d8T8BerGwTXmbVfZS1FaJi8iGP}\t"	[176, 5000.0]
"{14dDaCuymb2pWELFa5BhkFzNdt5DQwE1xm}\t"	[177, 5862.0]
"{14dRd6FdV3JfM96VY1b4as3g3f7snEM8ar}\t"	[178, 50000.0]
"{14dnaJFJfTK7dQxBSEMKZtVbUHkMqMLKyh}\t"	[179, 8940.27878804]
"{14ebcQ96SfVoQR5LnAcH9WGotWPdUyRgn4}\t"	[180, 7739.9952]
"{14fLzP5EYUc5BD2Mt4NbLsJQonXX9Fn9zu}\t"	[181, 6104.71876403]
"{14fWRAr3mG1iYX8X2xgc8swu2fHY2zQmWz}\t"	[182, 6000.0]
"{14hoyWeoVdRhhDWgfc46AR3yNpYTDHuzKQ}\t"	[183, 10000.0]
"{14i57919Be23P6YqTnHmREzVjSgpDmafRE}\t"	[184, 4000.07]
"{14mCVtTZfhiGy6yLgueaH8FfJgJQFbGW8j}\t"	[1, 5400.73734819]
"{14oiE5jDmjnYxxjhfxArPFn1tyiYDycoqW}\t"	[2, 5000.0]
"{14oqmGqxGuLJDaLjDHDe8irkMnZpxScLbv}\t"	[3, 40000.0]
"{14pRHQ3yDinLwuyETgWp7MueQ1vmx41ypk}\t"	[4, 4193.10177256]
"{14pf4ddyrm5EntpeuRXromoZp5CptyHwPP}\t"	[5, 4161.489]
"{14q8Mdm7gaKwdSMyyUt8eVW2QGQQUkEZYy}\t"	[6, 4014.9995]
"{14rRBh8pgBvoXrwt1g2gZAmyhpkcFHXxUx}\t"	[7, 6181.30099423]
"{14s1hWojRPUgeT2Q8D2JAGATmajaZqgBuJ}\t"	[8, 44341.42294935]
"{14sfitRUskramH9XYaza4bTfWoha7cTWP4}\t"	[9, 5702.92012506]
"{14sjEzzsJeEWjRaJZmA5BEcRWv2JKcJsyo}\t"	[10, 8000.0]
"{14tbdvKaQhgug9LqYdEEouVnpo1oTs4Jh2}\t"	[11, 6767.96619825]
"{14ucLdhc5JsnpMXsDJhabKmeUEiwg2dLUN}\t"	[12, 8000.0]
"{14w7D3Qkmbt6MPmvDarE7Wbzjm752AZ75x}\t"	[13, 4623.9997]
"{14wCeQ1LcfmiyGp3acyR58bhd4MMoq6N3X}\t"	[14, 5245.70109626]
"{14xZRjQBVj78mmpz1hQFBtbTtN8aeeoN4x}\t"	[15, 5000.0]
"{14xbr3p8i8aAENeCeQ8qhUaoxW94zJ1SB5}\t"	[16, 4270.0]
"{151uKTSBHHKg7b9rKd5YjaN7PfwmVyWETC}\t"	[17, 5982.58447687]
"{155PdjJJDhZRnJRBftqyVAqqXGhHxGUrxy}\t"	[18, 19998.9995]
"{155Yv6Hmzs5RT8j6uZAzfWzecvV9FDyu6k}\t"	[19, 5000.0]
"{1575qcT4wH1Z6MjD6CH9g8v5TSKyCeEJKx}\t"	[20, 8000.0]
"{157PiPgqphedUvrco3mKU3Xoof7yzhj9pW}\t"	[21, 9000.0]
"{15D9UJFM6vvwPFUGunGHk7tP6gdogDhNDX}\t"	[22, 6101.23027511]
"{15FN2uH9NNY8gr74zA38L4yxv87X3KcE2Z}\t"	[23, 8000.0]
"{15J5MZxBkbo88hfHbY96UEDdWWtTJKTBgj}\t"	[24, 5450.0]
"{15JUim9iqGih8avGf2GmyaUuvwPiDh5B5Q}\t"	[25, 6248.63935716]
"{15K9dmigCBNYPPeKwbyLnmqii38UxLnBKV}\t"	[26, 4115.0]
"{15KEBcpPDzuPQBdrPifGBcPB5LLD1KdwcC}\t"	[27, 10000.0]
"{15LT8mNMvBFB5Xa22QW8YG7KeoSXT71NmT}\t"	[28, 5000.0]
"{15Ln2ADQmLWw2SRgZ6Ccbk7mbaLoHWSywZ}\t"	[29, 4972.21407035]
"{15M4vAaD9TKc3uvKDQzUeFdncox8P2LHWx}\t"	[30, 5000.0]
"{15MMisfA4Eq85yYUjipn12hC9bVzUwEDEm}\t"	[31, 4666.93760457]
"{15N3fnD3yKcfASFCiMPmTyqu2VAQCPkCKY}\t"	[32, 10446.09434624]
"{15NYB9LdFSGNQYPdwG9nXqcD581MYeNPDL}\t"	[33, 6407.6396819]
"{15P5GnYgXcwWqfjey2ZL16K9hyVNByJzo1}\t"	[34, 4034.88884]
"{15PWiVc7cZrSxF4g1LQpXNqaUzpQffVbun}\t"	[35, 6871.23915446]
"{15PxVigwHzbux9vSfSa314AfBBXfHMzrSu}\t"	[36, 5000.0]
"{15SidLrru1tUdh3H6sxmtoaPn5okYMiggm}\t"	[37, 5816.26861423]
"{15SnX6M4h5BeRTXb7fhC9tUMEh1ds4189J}\t"	[38, 27006.15243361]
"{15SoJsSzrf5PR4fVAZXi8MEdsEyAM3dz4j}\t"	[39, 11278.4845781]
"{15TBLRjjPFSvpqtKXiQj5mBy8QEJw7oKzc}\t"	[40, 16500.0]
"{15TEAwEMxVS3BK718HhwgJg7nxwyJ2ib9y}\t"	[41, 37421.09304115]
"{15TXkCFsSnv4do3ahJg1igA2C1ZaGgxdbz}\t"	[42, 5533.48146556]
"{15TngjhBNixSTXAesCjo31nPekokqrXijg}\t"	[43, 4500.0]
"{15TpyLdLv66khcrLG1V5UcJdTvCnNgtdNu}\t"	[44, 5988.7]
"{15TvYty5anWLsj5Dq8fupGA5ebLGbP7546}\t"	[45, 5825.06053393]
"{15Vb35KMTjn1iQoDyzNrMqdJrxip1Kjfvv}\t"	[46, 4256.489]
"{15W7tnUBgDFT3rmQm3Y5d1FjBv1oQH4Fkf}\t"	[47, 4370.0]
"{15X521Jmv8LDyyu49mJmVJae7m26gzZemm}\t"	[48, 8464.58169588]
"{15YmUAztpGFFxBniKrds5m3vXtLDQ8q9cW}\t"	[49, 6682.76023066]
"{15ZQexYQ27TQJ8MKLWqF9Q4fh2jWTQRrzU}\t"	[50, 5000.0]
"{15Zffs2A9hVT5VZVp6ETkjnyZD7PD2Ehmb}\t"	[51, 4257.22056]
"{15ZugqxEYRHXSuZgHX68WyAjTcxqMhyvQS}\t"	[52, 39702.816]
"{15Zxg9wVjMhavZKCuguKRpDf3y4vUkkPrB}\t"	[53, 5640.44828528]
"{15aRGMZcMwt8qamEVCXx42qre6ZcVcxUee}\t"	[54, 4398.11372706]
"{15aeRK2NQSiLtWM5St9tNhJ7zmKLmiu8AS}\t"	[55, 4361.95778439]
"{15boAnmLexiwfoMcaECTfdbWeFKbMt7Yok}\t"	[56, 7000.0]
"{15c5Yt9BdGN7JKxfSxRJRSoYF9dBEFEpSi}\t"	[57, 5000.0]
"{15cVrokw1Ac5Mjxtua6ZdGpSiacfQfcWkX}\t"	[58, 4907.66712438]
"{15d3mnKv5hC35qzEVCtofYAGyK8e3TcMk1}\t"	[59, 9488.34918748]
"{15ezwEP7XjCgJHxFEzzBa5Z1pGnLbzDSPP}\t"	[60, 5064.37]
"{15gHgvZf2Z68Vg8JjeFxBmrqQA1o9s5U91}\t"	[61, 4150.0]
"{15gLKeWiJL6oEkV3XPL8KEykx2oCG4gXfV}\t"	[62, 10832.84307]
"{15i4YGvgFkHtMdT4WZRPzEpxQBZeoGbXMg}\t"	[63, 5000.0]
"{15ihHoGs3onQBNnEH8afDFGvou9nD62Hm7}\t"	[64, 111114.61515989]
"{15ikRYk7MJvK4coq7KJty9csUfgYKDMPk3}\t"	[65, 4730.0]
"{15jPek6oSD85QY6cRCbMm1rEBuwJd1PEGL}\t"	[66, 11101.9]
"{15jSAHG5Vw4dPi3ZrfBAy3SyCnWFoWVmtL}\t"	[67, 4275.0]
"{15mHnGXtow64i61iRajPzGUFBiEV5Txfb5}\t"	[68, 6307.8514496]
"{15mwqmanbhufbVy3XJVWauQFeX4eyYu8ra}\t"	[69, 11273.95369608]
"{15n2uUFZSDe53UsPEozzqPZMQVbkBebhVR}\t"	[70, 7563.07023858]
"{15n6boxiQj45oHcmDjtNMjh35sFWZX4PBt}\t"	[71, 5000.0]
"{15ob4yi4ZH29v3F1fjY7f8gna7gMcBtAnd}\t"	[72, 8038.05977736]
"{15obK8KwDbwPxJt5hTnFTXT1MooU3PSn4r}\t"	[73, 4993.29294824]
"{15opW4oUZRFqMXrmgvoAjQCDK2sjRRCwzd}\t"	[74, 5028.31512226]
"{15osXhvAjnk4o2vUaW7yrvYJzZURop5ZsX}\t"	[75, 7999.999]
"{15qjgnZUSQTCQJ6ZGxah2SF7NkL6GJ7wJS}\t"	[76, 4232.32666]
"{15s2sdgAAZaR1geyMwkVqLGZFdvi1EhgSx}\t"	[77, 5000.0]
"{15sW94qxLgZma1pn88bF1sCuiWvYXYXYyX}\t"	[78, 4377.3674]
"{15tXMgWdc9ZVEyNkEN7UWKzmpN8akNFhEz}\t"	[79, 5000.0]
"{15toFQhtiqKcG9mCnDA23Rm1QSC2e6GMNn}\t"	[80, 17575.0]
"{15uAm9fWTGt6QERt2PYSGRr6MEMVM9LP4N}\t"	[81, 6500.0]
"{15uLvTskd8GE5uDXfhPgyDhXachNwK2oUC}\t"	[82, 6695.42583058]
"{15udfZA8HKa8kbzvJjnxwDWRj5QuTqUEqV}\t"	[83, 6610.57807296]
"{15vFcwGTQZ3N2X6tVZYDj8B4aY4q9Zwcpz}\t"	[84, 8000.0]
"{15vheUQ4jzhNb9XStAeLR3h7BCQAsJC4k5}\t"	[85, 6909.77240771]
"{15wqxAi6nD5Gj4JokHVNiq2gfyaEU2y9MB}\t"	[86, 4888.73017543]
"{15wtUnSbNpfF7ZLh4SrtMco5c5GDd2LbvX}\t"	[87, 5555.55]
"{15xKcYdGySKRusLaaWhrtfG4rNDVUP8pBw}\t"	[88, 9622.0]
"{15yN1fDJGQ7qX6DEBhfLsrZhQZ26jZw6M7}\t"	[89, 5114.10441521]
"{15zXWYXZvTLc5qpsaz4BVhJmfpZR4iVxUy}\t"	[90, 6027.73594318]
"{15zzY7EHTFLy67vDwFDLS5H76uzFDi6yz6}\t"	[91, 44167.6354733]
"{162yYu4DBqQF1kZrhZMEJoH73ghCAcS2t4}\t"	[92, 6123.75195969]
"{163n8Cdq28naezToSQ9QUYNmaH33mEYTom}\t"	[93, 10000.0]
"{1648CYz5PybNdDjRsfZFBPsFCUi6zKrzNH}\t"	[94, 5603.11728268]
"{167SD3WUu5iZbBPyWZBHKzannZWxkaYcsX}\t"	[95, 5698.42720191]
"{167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg}\t"	[96, 8999.0]
"{167cSycLqiKiV2tc8aKmVRyNr4jLAjvryA}\t"	[97, 5458.40892082]
